Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop
NO,25.097441585507184,-80.47824665026987,25.242721461041715,24.95215886479063,-80.31870089654986,-80.63779240398988,230,0,"(25.097441585507184, -80.47824665026987)",15679.0
NO,25.387368282657093,-80.37263708462714,25.532642444636345,25.24209125179725,-80.21271233918642,-80.53256183006786,414,0,"(25.387368282657093, -80.37263708462714)",125829.0
NO,25.388063698300574,-81.0123378986243,25.533337846518513,25.242786681145564,-80.85241223705503,-81.17226356019356,416,0,"(25.388063698300574, -81.0123378986243)",23356.0
NO,25.677280560815966,-80.26538380122422,25.822548962452082,25.532009266899404,-80.10507417137659,-80.42569343107185,598,0,"(25.677280560815966, -80.26538380122422)",1086875.0
NO,25.67763280057112,-80.58600353216639,25.822901195180105,25.53236151365345,-80.42569343106815,-80.74631363326462,599,0,"(25.67763280057112, -80.58600353216639)",162215.0
NO,25.678337296649307,-81.22724582163535,25.82360567720348,25.533066023729944,-81.0669347779873,-81.3875568652834,601,0,"(25.678337296649307, -81.22724582163535)",0.0
NO,25.967178273243935,-80.15646947586983,26.112440868350774,25.821912762757883,-79.99576900705357,-80.31716994468609,782,0,"(25.967178273243935, -80.15646947586983)",1158559.0
NO,25.967535068988788,-80.47787089823609,26.112797656920762,25.82226956564934,-80.31716994468225,-80.63857185178993,783,0,"(25.967535068988788, -80.47787089823609)",283323.0
NO,25.968248677341013,-81.12067665147804,26.11351125092272,25.822983188295343,-80.95997472839868,-81.2813785745574,785,0,"(25.968248677341013, -81.12067665147804)",110.0
NO,25.96860548994863,-81.44208098242085,26.113868056354935,25.823340008050128,-81.28137857455356,-81.60278339028814,786,0,"(25.96860548994863, -81.44208098242085)",18103.0
NO,25.968962308177407,-81.76348628295632,26.114224867408122,25.82369683342625,-81.60278339028432,-81.92418917562833,787,0,"(25.968962308177407, -81.76348628295632)",40753.0
NO,25.986096196038268,-97.19208160793579,26.131358410625964,25.840831064574473,-97.03135542488403,-97.35280779098755,835,0,"(25.986096196038268, -97.19208160793579)",101138.0
NO,25.986453289853483,-97.51353445966355,26.131715497256632,25.841188165545983,-97.35280779098372,-97.67426112834337,836,0,"(25.986453289853483, -97.51353445966355)",121694.0
NO,25.986810389295957,-97.83498828266426,26.132072589514394,25.84154527214493,-97.67426112833954,-97.99571543698897,837,0,"(25.986810389295957, -97.83498828266426)",6583.0
NO,25.98716749436582,-98.15644307697156,26.13242968739935,25.84190238437146,-97.99571543698514,-98.31717071695797,838,0,"(25.98716749436582, -98.15644307697156)",0.0
NO,26.25706127357596,-80.04587641768842,26.402318016573727,26.111801592403562,-79.88477909216017,-80.20697374321666,965,0,"(26.25706127357596, -80.04587641768842)",500998.0
NO,26.2574226470396,-80.36807156726488,26.402679382713647,26.112162973162704,-80.20697374321271,-80.52916939131704,966,0,"(26.2574226470396, -80.36807156726488)",419134.0
NO,26.25850680175425,-81.33466299852448,26.403763515455996,26.113247149764966,-81.17356367879631,-81.49576231825264,969,0,"(26.25850680175425, -81.33466299852448)",33029.0
NO,26.258868198100792,-81.65686213657027,26.404124904478067,26.113608553407747,-81.49576231824868,-81.81796195489186,970,0,"(26.258868198100792, -81.65686213657027)",261122.0
NO,26.259229600168368,-81.97906227182028,26.40448629922099,26.113969962771762,-81.81796195488789,-82.14016258875267,971,0,"(26.259229600168368, -81.97906227182028)",0.0
NO,26.276221952986464,-97.12359411566364,26.42147830756995,26.130962658732322,-96.96247034440579,-97.28471788692148,1018,0,"(26.276221952986464, -97.12359411566364)",2798.0
NO,26.27658362981137,-97.44584215762127,26.421839977061257,26.131324342862612,-97.28471788691752,-97.60696642832502,1019,0,"(26.27658362981137, -97.44584215762127)",24914.0
NO,26.276945312363466,-97.76809119848811,26.422201652279554,26.13168603272027,-97.60696642832104,-97.92921596865517,1020,0,"(26.276945312363466, -97.76809119848811)",120178.0
NO,26.27730700064287,-98.09034123829899,26.422563333224982,26.132047728305427,-97.9292159686512,-98.25146650794677,1021,0,"(26.27730700064287, -98.09034123829899)",321669.0
NO,26.27766869464971,-98.41259227708875,26.422925019897658,26.132409429618207,-98.25146650794281,-98.57371804623469,1022,0,"(26.27766869464971, -98.41259227708875)",206932.0
NO,26.278030394384114,-98.73484431489221,26.423286712297713,26.13277113665873,-98.57371804623071,-98.89597058355372,1023,0,"(26.278030394384114, -98.73484431489221)",583.0
NO,26.5469294158105,-79.93358656144365,26.692180261730364,26.40167560922627,-79.77208629694498,-80.09508682594232,1148,0,"(26.5469294158105, -79.93358656144365)",140352.0
NO,26.547295389113867,-80.25658760305318,26.692546227560012,26.402041589975163,-80.09508682593822,-80.41808838016813,1149,0,"(26.547295389113867, -80.25658760305318)",361229.0
NO,26.547661368239073,-80.57958966991328,26.692912199211303,26.402407576546068,-80.41808838016405,-80.7410909596625,1150,0,"(26.547661368239073, -80.57958966991328)",23428.0
NO,26.548027353186235,-80.90259276205991,26.693278176684373,26.402773568939136,-80.74109095965841,-81.06409456446141,1151,0,"(26.548027353186235, -80.90259276205991)",21254.0
NO,26.548759340546958,-81.54860202235673,26.69401014909632,26.403505571192223,-81.38709919459673,-81.71010485011674,1153,0,"(26.548759340546958, -81.54860202235673)",104913.0
NO,26.549125342960775,-81.87160819057888,26.694376144035466,26.40387158105251,-81.71010485011264,-82.03311153104512,1154,0,"(26.549125342960775, -81.87160819057888)",355666.0
NO,26.549491351197066,-82.19461538423151,26.694742144796905,26.404237596735463,-82.03311153104103,-82.35611923742199,1155,0,"(26.549491351197066, -82.19461538423151)",15126.0
NO,26.566700308432214,-97.37711083483688,26.711950750499113,26.42144690417814,-97.21558286329673,-97.53863880637704,1202,0,"(26.566700308432214, -97.37711083483688)",127.0
NO,26.56706659629905,-97.70016729150191,26.712317030881966,26.42181319950078,-97.53863880637294,-97.86169577663088,1203,0,"(26.56706659629905, -97.70016729150191)",15032.0
NO,26.56743288999469,-98.02322477536262,26.712683317093422,26.422179500652398,-97.86169577662679,-98.18475377409845,1204,0,"(26.56743288999469, -98.02322477536262)",82414.0
NO,26.56779918951926,-98.34628328645508,26.71304960913362,26.42254580763314,-98.18475377409435,-98.5078127988158,1205,0,"(26.56779918951926, -98.34628328645508)",45373.0
NO,26.568165494872883,-98.66934282481535,26.713415907002684,26.42291212044313,-98.5078127988117,-98.83087285081899,1206,0,"(26.568165494872883, -98.66934282481535)",44047.0
NO,26.56853180605569,-98.9924033904795,26.71378221070074,26.423278439082488,-98.83087285081488,-99.1539339301441,1207,0,"(26.56853180605569, -98.9924033904795)",18488.0
NO,26.837153149959573,-80.143400689868,26.98239804682333,26.691905270221447,-79.9814908112425,-80.30531056849351,1331,0,"(26.837153149959573, -80.143400689868)",426842.0
NO,26.83752375154643,-80.46722097415501,26.982768640785174,26.69227587940516,-80.30531056848928,-80.62913137982075,1332,0,"(26.83752375154643, -80.46722097415501)",28587.0
NO,26.837894359058144,-80.7910423125411,26.983139240671683,26.692646494513923,-80.62913137981651,-80.95295324526568,1333,0,"(26.837894359058144, -80.7910423125411)",8123.0
NO,26.838264972494844,-81.1148647050635,26.983509846482974,26.693017115547857,-80.95295324526144,-81.27677616486555,1334,0,"(26.838264972494844, -81.1148647050635)",7061.0
NO,26.838635591856658,-81.43868815175946,26.98388045821919,26.69338774250711,-81.27677616486132,-81.60060013865761,1335,0,"(26.838635591856658, -81.43868815175946)",23872.0
NO,26.83900621714372,-81.76251265266625,26.984251075880458,26.693758375391802,-81.60060013865338,-81.92442516667911,1336,0,"(26.83900621714372, -81.76251265266625)",41823.0
NO,26.839376848356167,-82.0863382078211,26.98462169946692,26.694129014202066,-81.92442516667488,-82.24825124896732,1337,0,"(26.839376848356167, -82.0863382078211)",60063.0
NO,26.83974748549413,-82.41016481726128,26.984992328978702,26.69449965893805,-82.24825124896309,-82.57207838555946,1338,0,"(26.83974748549413, -82.41016481726128)",28192.0
NO,26.85791596677455,-98.27896095558353,27.00316043633862,26.71266851275904,-98.11702153400361,-98.44090037716344,1387,0,"(26.85791596677455, -98.27896095558353)",320.0
NO,26.85902878532042,-99.25060223790298,27.00427323197626,26.713781354128663,-99.08866123201396,-99.412543243792,1390,0,"(26.85902878532042, -99.25060223790298)",13279.0
NO,27.126995784670555,-80.02849212437707,27.2722346962174,26.981753868377677,-79.86616692851959,-80.19081732023454,1513,0,"(27.126995784670555, -80.02849212437707)",22031.0
NO,27.127371031644202,-80.35314305785387,27.272609935413836,26.982129123100428,-80.19081732023017,-80.51546879547757,1514,0,"(27.127371031644202, -80.35314305785387)",193205.0
NO,27.12812154367978,-81.00244817550127,27.273360431894375,26.982879650634803,-80.84012135428728,-81.16477499671527,1516,0,"(27.12812154367978, -81.00244817550127)",24871.0
NO,27.12849680874198,-81.32710235974898,27.27373568917876,26.9832549234467,-81.16477499671092,-81.48942972278704,1517,0,"(27.12849680874198, -81.32710235974898)",21425.0
NO,27.128872079833968,-81.65175762766408,27.27411095249274,26.983630202288587,-81.48942972278267,-81.81408553254549,1518,0,"(27.128872079833968, -81.65175762766408)",0.0
NO,27.129247356955883,-81.97641397928516,27.27448622183645,26.98400548716059,-81.81408553254113,-82.13874242602918,1519,0,"(27.129247356955883, -81.97641397928516)",32406.0
NO,27.12962264010786,-82.30107141465076,27.27486149721002,26.98438077806286,-82.13874242602482,-82.46340040327671,1520,0,"(27.12962264010786, -82.30107141465076)",146677.0
NO,27.12999792929004,-82.62572993379946,27.275236778613603,26.98475607499553,-82.46340040327235,-82.78805946432658,1521,0,"(27.12999792929004, -82.62572993379946)",7934.0
NO,27.14764332543136,-97.88590355197387,27.2928818089374,27.002401835633073,-97.72354853032576,-98.04825857362198,1568,0,"(27.14764332543136, -97.88590355197387)",391.0
NO,27.148018904223626,-98.2106141380934,27.29325737994156,27.00277742218533,-98.0482585736176,-98.37296970256921,1569,0,"(27.148018904223626, -98.2106141380934)",7222.0
NO,27.14877007991895,-98.86003856739534,27.294008540060087,27.00352861340123,-98.69768191720614,-99.02239521758453,1571,0,"(27.14877007991895, -98.86003856739534)",5273.0
NO,27.149145676822297,-99.18475241065502,27.294384129174734,27.00390421806516,-99.02239521758015,-99.34710960372989,1572,0,"(27.149145676822297, -99.18475241065502)",615.0
NO,27.417203064369286,-80.23733695917592,27.562435939558508,27.271967162846614,-80.07458960485188,-80.40008431349996,1695,0,"(27.417203064369286, -80.23733695917592)",186352.0
NO,27.41758298620152,-80.56283222465906,27.562815853460048,27.272347092581494,-80.40008431349546,-80.72558013582267,1696,0,"(27.41758298620152, -80.56283222465906)",16081.0
NO,27.41796291416948,-80.88832860384127,27.5631957734971,27.272727028452298,-80.72558013581815,-81.0510770718644,1697,0,"(27.41796291416948, -80.88832860384127)",20132.0
NO,27.418342848273305,-81.21382609676247,27.563575699669823,27.27310697045917,-81.0510770718599,-81.37657512166506,1698,0,"(27.418342848273305, -81.21382609676247)",7518.0
NO,27.41872278851314,-81.53932470346255,27.563955631978356,27.273486918602252,-81.37657512166055,-81.70207428526456,1699,0,"(27.41872278851314, -81.53932470346255)",31801.0
NO,27.419102734889112,-81.86482442398143,27.56433557042282,27.273866872881676,-81.70207428526005,-82.02757456270281,1700,0,"(27.419102734889112, -81.86482442398143)",1130.0
NO,27.41948268740137,-82.19032525835902,27.564715515003375,27.274246833297592,-82.0275745626983,-82.35307595401974,1701,0,"(27.41948268740137, -82.19032525835902)",7586.0
NO,27.419862646050053,-82.51582720663522,27.565095465720145,27.27462679985013,-82.35307595401522,-82.67857845925522,1702,0,"(27.419862646050053, -82.51582720663522)",453587.0
NO,27.420242610835302,-82.84133026884996,27.565475422573282,27.275006772539435,-82.67857845925072,-83.0040820784492,1703,0,"(27.420242610835302, -82.84133026884996)",6270.0
NO,27.436967138717836,-97.16456841166041,27.5821996012432,27.291731648400255,-97.00179207520287,-97.32734474811795,1747,0,"(27.436967138717836, -97.16456841166041)",0.0
NO,27.437727627012993,-97.81567598901458,27.582960073655766,27.292492152521888,-97.65289853678051,-97.97845344124865,1749,0,"(27.437727627012993, -97.81567598901458)",30685.0
NO,27.438107880375256,-98.14123145139645,27.583340319076434,27.292872413797696,-97.97845344124413,-98.30400946154877,1750,0,"(27.438107880375256, -98.14123145139645)",2982.0
NO,27.43848813988082,-98.46678802963484,27.583720570640207,27.293252681217012,-98.30400946154425,-98.62956659772543,1751,0,"(27.43848813988082, -98.46678802963484)",2765.0
NO,27.438868405529842,-98.79234572376974,27.584100828347225,27.293632954779984,-98.6295665977209,-98.95512484981859,1752,0,"(27.438868405529842, -98.79234572376974)",419.0
NO,27.43924867732245,-99.11790453384117,27.584481092197638,27.29401323448674,-98.95512484981406,-99.28068421786828,1753,0,"(27.43924867732245, -99.11790453384117)",548.0
NO,27.439628955258787,-99.44346445988913,27.58486136219157,27.294393520337426,-99.28068421786375,-99.6062447019145,1754,0,"(27.439628955258787, -99.44346445988913)",158930.0
NO,27.707404320301233,-80.44613453881615,27.852631116342376,27.562174476653805,-80.28295864066934,-80.60931043696297,1877,0,"(27.707404320301233, -80.44613453881615)",130413.0
NO,27.70778894096204,-80.77248690735429,27.85301572891793,27.562559105371875,-80.60931043695831,-80.93566337775027,1878,0,"(27.70778894096204, -80.77248690735429)",19957.0
NO,27.70817356786663,-81.09884042041143,27.85340034773707,27.562943740333946,-80.93566337774563,-81.26201746307724,1879,0,"(27.70817356786663, -81.09884042041143)",148.0
NO,27.70855820101516,-81.42519507802888,27.853784972799946,27.563328381540153,-81.26201746307258,-81.58837269298517,1880,0,"(27.70855820101516, -81.42519507802888)",43149.0
NO,27.708942840407772,-81.75155088024793,27.854169604106687,27.563713028990644,-81.58837269298051,-81.91472906751535,1881,0,"(27.708942840407772, -81.75155088024793)",9804.0
NO,27.709327486044607,-82.0779078271099,27.85455424165745,27.56409768268557,-81.91472906751069,-82.2410865867091,1882,0,"(27.709327486044607, -82.0779078271099)",54048.0
NO,27.709712137925816,-82.40426591865608,27.85493888545238,27.56448234262507,-82.24108658670444,-82.56744525060772,1883,0,"(27.709712137925816, -82.40426591865608)",154123.0
NO,27.710096796051534,-82.7306251549278,27.85532353549162,27.56486700880929,-82.56744525060306,-82.89380505925253,1884,0,"(27.710096796051534, -82.7306251549278)",336743.0
NO,27.727027937845516,-97.09156545655375,27.872254321276746,27.58179850538093,-96.92836034735053,-97.25477056575697,1928,0,"(27.727027937845516, -97.09156545655375)",4407.0
NO,27.727412877123935,-97.41797624825904,27.872639252459418,27.5821834527271,-97.2547705657523,-97.58118193076578,1929,0,"(27.727412877123935, -97.41797624825904)",269090.0
NO,27.727797822653514,-97.74438818659208,27.87302418989306,27.582568406324647,-97.5811819307611,-97.90759444242305,1930,0,"(27.727797822653514, -97.74438818659208)",29232.0
NO,27.72818277443441,-98.07080127159428,27.873409133577795,27.58295336617371,-97.90759444241839,-98.23400810077017,1931,0,"(27.72818277443441, -98.07080127159428)",29276.0
NO,27.728567732466754,-98.39721550330702,27.873794083513786,27.583338332274433,-98.23400810076551,-98.56042290584854,1932,0,"(27.728567732466754, -98.39721550330702)",5621.0
NO,27.72972264407394,-99.3764650791226,27.874948970830665,27.584493268087986,-99.21325595635999,-99.5396742018852,1935,0,"(27.72972264407394, -99.3764650791226)",600.0
NO,27.73010762711354,-99.70288389809159,27.87533394577309,27.584878259196792,-99.53967420188054,-99.86609359430263,1936,0,"(27.73010762711354, -99.70288389809159)",67981.0
NO,27.99759948137974,-80.65490359898668,28.142820156112105,27.85237573808501,-80.49129269900507,-80.81851449896828,2058,0,"(27.99759948137974, -80.65490359898668)",174650.0
NO,27.99798882526904,-80.98212598694798,28.14320949176055,27.852765090187255,-80.81851449896348,-81.14573747493247,2059,0,"(27.99798882526904, -80.98212598694798)",551.0
NO,27.998378175511974,-81.30934955093642,28.143598833762418,27.853154448643348,-81.14573747492766,-81.47296162694518,2060,0,"(27.998378175511974, -81.30934955093642)",0.0
NO,27.998767532108683,-81.63657429099476,28.143988182117862,27.853543813453424,-81.47296162694036,-81.80018695504916,2061,0,"(27.998767532108683, -81.63657429099476)",181483.0
NO,27.999156895059315,-81.96380020716573,28.144377536827015,27.853933184617638,-81.80018695504434,-82.12741345928713,2062,0,"(27.999156895059315, -81.96380020716573)",230643.0
NO,27.999546264364024,-82.29102729949209,28.14476689789003,27.854322562136137,-82.12741345928231,-82.45464113970186,2063,0,"(27.999546264364024, -82.29102729949209)",389950.0
NO,27.999935640022958,-82.61825556801658,28.14515626530706,27.85471194600907,-82.45464113969705,-82.78186999633611,2064,0,"(27.999935640022958, -82.61825556801658)",618534.0
