Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Dealers_Total,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg
NO,26.410274848317016,-78.91888144289814,28.588763416931616,24.23112283051365,-76.49952152505499,-81.33824136074129,2,0,"(26.410274848317016, -78.91888144289814)",6925269.0,2_0_no,169,169.0,2.4403384186231612e-05,2.4403384186231612e-05,1.0
NO,26.49235456987094,-83.75931184778837,28.67081741607411,24.31322684560376,-81.33823828729831,-86.18038540827843,3,0,"(26.49235456987094, -83.75931184778837)",5089346.0,3_0_no,214,214.0,4.204862471523846e-05,4.204862471523846e-05,1.0
NO,26.657398424968477,-93.45052243663608,28.835809394346573,24.478319721111934,-91.02598073139184,-95.87506414188032,5,0,"(26.657398424968473, -93.45052243663608)",0.0,5_0_no,0,0.0,0.0,0.0,0.0
NO,26.740365511129056,-98.30135745861412,28.918750324488123,24.561311535845064,-95.87506098125206,-100.7276539359762,6,0,"(26.740365511129056, -98.30135745861413)",2301016.0,6_0_no,59,59.0,2.5640847347432612e-05,2.5640847347432612e-05,1.0
NO,30.71956956766233,-82.12411641532175,32.89664336185862,28.541765024009106,-79.60423287770925,-84.64399995293425,15,0,"(30.719569567662326, -82.12411641532175)",6565089.0,15_0_no,260,260.0,3.960342350271261e-05,3.960342350271261e-05,1.0
NO,30.81771005213099,-87.16643357895795,32.99475022410555,28.6399377870776,-84.64399498367742,-89.68887217423848,16,0,"(30.81771005213099, -87.16643357895795)",3693111.0,16_0_no,184,184.0,4.982249382702009e-05,4.982249382702009e-05,1.0
NO,30.916232104672165,-92.21388340323185,33.09323846687306,28.73849230927068,-89.68886715089936,-94.73889965556432,17,0,"(30.916232104672165, -92.21388340323183)",5434066.0,17_0_no,229,229.0,4.21415566170893e-05,4.21415566170893e-05,1.0
NO,31.01513798326365,-97.26651134783329,33.192110347103494,28.837430849688296,-94.73889457735308,-99.79412811831348,18,0,"(31.01513798326365, -97.26651134783327)",19115459.0,18_0_no,589,589.0,3.081275736041703e-05,3.081275736041703e-05,1.0
NO,31.11442996845545,-102.32436339989184,33.2913681443059,28.93675569000923,-99.79412298442524,-104.85460381535846,19,0,"(31.11442996845545, -102.32436339989185)",876241.0,19_0_no,39,39.0,4.450830308100169e-05,4.450830308100169e-05,1.0
NO,31.21411036370572,-107.38748608211802,33.39101416089205,29.036469134827097,-104.85459862497298,-109.92037353926304,20,0,"(31.214110363705718, -107.38748608211802)",1208623.0,20_0_no,31,31.0,2.5649023723692168e-05,2.5649023723692168e-05,1.0
NO,31.314181495723204,-112.4559264611053,33.49105072251875,29.136573511992804,-109.92036829154436,-114.99148463066624,21,0,"(31.314181495723204, -112.4559264611053)",3292983.0,21_0_no,66,66.0,2.004261789386705e-05,2.004261789386705e-05,1.0
NO,31.414645714816498,-117.5297321557976,33.59148017843713,29.23707117296386,-114.99147932476228,-120.06798498683294,22,0,"(31.414645714816498, -117.5297321557976)",3943756.0,22_0_no,71,71.0,1.8003142182224257e-05,1.8003142182224257e-05,1.0
NO,34.81738439522579,-74.82179379665857,36.99301076668903,32.64097871244372,-72.18385914857437,-77.45972844474277,25,0,"(34.81738439522579, -74.82179379665857)",751192.0,25_0_no,64,64.0,8.519792543051577e-05,8.519792543051577e-05,1.0
NO,34.93216801312684,-80.10131920411399,37.10775269945129,32.75580288229532,-77.45972063799839,-82.7429177702296,26,0,"(34.93216801312684, -80.10131920411399)",14226130.0,26_0_no,556,556.0,3.908301133196449e-05,3.908301133196449e-05,1.0
NO,35.04744064977571,-85.3882089138739,37.2229834191356,32.8711163105888,-82.74290986371248,-88.03350796403531,27,0,"(35.04744064977571, -85.3882089138739)",15111876.0,27_0_no,570,570.0,3.7718679004512745e-05,3.7718679004512745e-05,1.0
NO,35.163205755438895,-90.68253655477945,37.33870637474345,32.98692244900198,-88.03349995599294,-93.33157315356593,28,0,"(35.163205755438895, -90.68253655477943)",4585902.0,28_0_no,245,245.0,5.342460436354724e-05,5.342460436354724e-05,1.0
NO,35.279466822586286,-95.98437676196347,37.45492505747334,33.10322479142453,-93.33156504220555,-98.63718848172142,29,0,"(35.279466822586286, -95.98437676196349)",5419601.0,29_0_no,274,274.0,5.0557227367844974e-05,5.0557227367844974e-05,1.0
NO,35.39622738665058,-101.2938051954722,37.57164300148012,33.22002687471747,-98.63718026520893,-103.95043012573548,30,0,"(35.39622738665058, -101.2938051954722)",1146090.0,30_0_no,63,63.0,5.496950501269534e-05,5.496950501269534e-05,1.0
NO,35.51349102680435,-106.61089855932948,37.68886378465205,33.337332279490234,-103.9504218021942,-109.27137531646476,31,0,"(35.51349102680435, -106.61089855932948)",1535238.0,31_0_no,42,42.0,2.7357321796359913e-05,2.7357321796359913e-05,1.0
NO,35.631261366755595,-111.9357346210574,37.80659102940636,33.455144630896335,-109.27136688397428,-114.60010235814052,32,0,"(35.631261366755595, -111.9357346210574)",3201452.0,32_0_no,75,75.0,2.3426870057711315e-05,2.3426870057711315e-05,1.0
NO,35.74954207556203,-117.26839223166584,37.92482840350348,33.573467599447724,-114.60009381473536,-119.93669064859633,33,0,"(35.74954207556203, -117.26839223166584)",21343981.0,33_0_no,430,430.0,2.0146194845282144e-05,2.0146194845282144e-05,1.0
NO,35.86833686846488,-122.60895134612532,38.04357962088085,33.69230490184858,-119.93668199226468,-125.28122069998597,34,0,"(35.86833686846488, -122.60895134612531)",7922540.0,34_0_no,174,174.0,2.196265339146284e-05,2.196265339146284e-05,1.0
NO,38.99298498239161,-72.03178429008835,41.167065248018126,36.81809241384009,-69.2462307151939,-74.8173378649828,36,0,"(38.99298498239161, -72.03178429008835)",4629391.0,36_0_no,478,478.0,0.00010325332208923377,0.00010325332208923377,1.0
