Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg,Market_Inventory_Total,Market_Dealers_Total,Inventory_per_Person,Dealers_per_Person,People_per_Car,People_per_Dealer
NO,26.9577812386604,-82.76313169522317,29.862046911198973,24.052319797858207,-79.52220078969714,-86.0040626007492,2,0,"(26.957781238660402, -82.76313169522317)",17814480.0,2_0_no,458.0,2.570942289643032e-05,2.570942289643032e-05,1.0,165359.0,3761.0,0.009282280481945024,0.00021112039195081753,107.73214642081774,4736.6338739696885
NO,27.10752744143704,-89.24927227229296,30.01172915649709,24.20212545307569,-86.00404876916997,-92.49449577541594,3,0,"(27.10752744143704, -89.24927227229296)",395001.0,3_0_no,36.0,9.11390097746588e-05,9.11390097746588e-05,1.0,6365.0,148.0,0.016113883255991758,0.00037468259574026397,62.05828750981932,2668.925675675676
NO,27.258240483190832,-95.74405937695344,30.16237760981782,24.352898582638616,-92.49448170838129,-98.9936370455256,4,0,"(27.258240483190832, -95.74405937695343)",8816266.0,4_0_no,312.0,3.538913186149329e-05,3.538913186149329e-05,1.0,87746.0,2104.0,0.009952739629226251,0.00023864978665571115,100.47484785631254,4190.240494296578
NO,27.40992918642357,-102.2476172510762,30.314001087462803,24.50464801575955,-98.99362273779478,-105.50161176435763,5,0,"(27.40992918642357, -102.2476172510762)",456528.0,5_0_no,11.0,2.4094907650790312e-05,2.4094907650790312e-05,1.0,1789.0,58.0,0.003918708162478534,0.0001270458767041671,255.18613750698714,7871.172413793103
NO,32.34452403503504,-73.60617758026589,35.24636602112057,29.44134589681587,-70.18822497597274,-77.02413018455904,10,0,"(32.34452403503504, -73.60617758026589)",0.0,10_0_no,6.0,0.0,0.0,1.0,1042.0,29.0,0.0,0.0,0.0,0.0
NO,32.53083962878481,-80.44907811542502,35.4325937750029,29.62774530170487,-77.0241050300036,-83.87405120084645,11,0,"(32.53083962878481, -80.44907811542502)",11702322.0,11_0_no,496.0,4.238475065034102e-05,4.238475065034102e-05,1.0,102063.0,2507.0,0.008721602430697088,0.0002142309876621067,114.65782898797801,4667.858795372956
NO,32.71849371842212,-87.30613541353725,35.620159160704524,29.815484095388697,-83.87402552444377,-90.73824530263072,12,0,"(32.71849371842212, -87.30613541353725)",14244559.0,12_0_no,724.0,5.082642432103374e-05,5.082642432103374e-05,1.0,144124.0,3544.0,0.010117828147575506,0.0002487967510963309,98.83544031528406,4019.3450902934537
NO,32.90750150484225,-94.1775846816454,35.809077370754906,30.00457748822038,-90.73821908964486,-97.61695027364595,13,0,"(32.90750150484225, -94.17758468164541)",13831849.0,13_0_no,609.0,4.402882073105338e-05,4.402882073105338e-05,1.0,138689.0,3206.0,0.010026786729670053,0.00023178390683703965,99.73284831529537,4314.363381160324
NO,33.09787848540741,-101.06366635643435,35.9993638940749,30.19504098712188,-97.61692350879616,-104.51040920407256,14,0,"(33.09787848540741, -101.06366635643435)",2706443.0,14_0_no,186.0,6.87248909361845e-05,6.87248909361845e-05,1.0,37727.0,828.0,0.01393969871155609,0.0003059366112643052,71.73756195827922,3268.650966183575
NO,33.289640462542444,-107.964626260764,36.191034524572,30.38689040418095,-104.51038187150816,-111.41887065001984,15,0,"(33.289640462542444, -107.96462626076399)",3616104.0,15_0_no,85.0,2.3505961111737932e-05,2.3505961111737932e-05,1.0,25743.0,571.0,0.007118987728229055,0.0001579047505270866,140.4694091597716,6332.93169877408
