zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
15014,40.60859,-79.74149,Brackenridge,PA,Pennsylvania,True,,3055.0,2418.2,42003,Allegheny,"{""42003"": 100}",Allegheny,42003,False,False,America/New_York,"(40.60859, -79.74149)",44.13239319726748,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15030,40.58492,-79.78074,Creighton,PA,Pennsylvania,True,,1124.0,288.9,42003,Allegheny,"{""42003"": 100}",Allegheny,42003,False,False,America/New_York,"(40.58492, -79.78074)",46.746837042384755,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15065,40.64192,-79.72766,Natrona Heights,PA,Pennsylvania,True,,11280.0,349.6,42003,Allegheny,"{""42003"": 100}",Allegheny,42003,False,False,America/New_York,"(40.64192, -79.72766)",42.323185095014416,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15068,40.56241,-79.7124,New Kensington,PA,Pennsylvania,True,,37442.0,318.1,42129,Westmoreland,"{""42129"": 77.84, ""42003"": 22.16}",Westmoreland|Allegheny,42129|42003,False,False,America/New_York,"(40.56241, -79.7124)",44.673087084682884,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15085,40.38497,-79.72539,Trafford,PA,Pennsylvania,True,,7479.0,312.6,42129,Westmoreland,"{""42129"": 97.59, ""42003"": 2.41}",Westmoreland|Allegheny,42129|42003,False,False,America/New_York,"(40.38497, -79.72539)",53.37186614063174,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15140,40.4073,-79.7783,Pitcairn,PA,Pennsylvania,True,,3180.0,2000.0,42003,Allegheny,"{""42003"": 100}",Allegheny,42003,False,False,America/New_York,"(40.4073, -79.7783)",54.24058114946211,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15144,40.54759,-79.78317,Springdale,PA,Pennsylvania,True,,4002.0,743.4,42003,Allegheny,"{""42003"": 100}",Allegheny,42003,False,False,America/New_York,"(40.54759, -79.78317)",48.285792949795855,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15146,40.4264,-79.76005,Monroeville,PA,Pennsylvania,True,,27541.0,541.9,42003,Allegheny,"{""42003"": 99.67, ""42129"": 0.33}",Allegheny|Westmoreland,42003|42129,False,False,America/New_York,"(40.4264, -79.76005)",52.63633076615182,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15239,40.48437,-79.73753,Pittsburgh,PA,Pennsylvania,True,,20523.0,484.9,42003,Allegheny,"{""42003"": 100}",Allegheny,42003,False,False,America/New_York,"(40.48437, -79.73753)",49.07590162500549,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15613,40.55355,-79.56577,Apollo,PA,Pennsylvania,True,,13122.0,87.5,42129,Westmoreland,"{""42129"": 62.03, ""42005"": 37.97}",Westmoreland|Armstrong,42129|42005,False,False,America/New_York,"(40.55355, -79.56577)",39.184423310304894,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15618,40.56229,-79.44628,Avonmore,PA,Pennsylvania,True,,2511.0,33.2,42005,Armstrong,"{""42005"": 62.98, ""42129"": 29.5, ""42063"": 7.52}",Armstrong|Westmoreland|Indiana,42005|42129|42063,False,False,America/New_York,"(40.56229, -79.44628)",34.46952607862288,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15623,40.3689,-79.62263,Claridge,PA,Pennsylvania,True,,817.0,264.9,42129,Westmoreland,"{""42129"": 100}",Westmoreland,42129,False,False,America/New_York,"(40.3689, -79.62263)",50.69341085964175,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15624,40.36638,-79.47124,Crabtree,PA,Pennsylvania,True,,430.0,341.8,42129,Westmoreland,"{""42129"": 100}",Westmoreland,42129,False,False,America/New_York,"(40.36638, -79.47124)",46.36527081936949,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15626,40.40868,-79.57592,Delmont,PA,Pennsylvania,True,,4854.0,436.3,42129,Westmoreland,"{""42129"": 100}",Westmoreland,42129,False,False,America/New_York,"(40.40868, -79.57592)",47.014901988319345,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15629,40.59731,-79.56304,East Vandergrift,PA,Pennsylvania,True,,697.0,2133.2,42129,Westmoreland,"{""42129"": 100}",Westmoreland,42129,False,False,America/New_York,"(40.59731, -79.56304)",37.04136272968328,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15632,40.43803,-79.60668,Export,PA,Pennsylvania,True,,8316.0,107.9,42129,Westmoreland,"{""42129"": 100}",Westmoreland,42129,False,False,America/New_York,"(40.43803, -79.60668)",46.467195580430996,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15641,40.63151,-79.58909,Hyde Park,PA,Pennsylvania,True,,486.0,780.5,42129,Westmoreland,"{""42129"": 100}",Westmoreland,42129,False,False,America/New_York,"(40.63151, -79.58909)",36.632887815549665,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15656,40.64114,-79.61981,Leechburg,PA,Pennsylvania,True,,9717.0,117.7,42129,Westmoreland,"{""42129"": 57.11, ""42005"": 42.89}",Westmoreland|Armstrong,42129|42005,False,False,America/New_York,"(40.64114, -79.61981)",37.56013212957191,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15668,40.46352,-79.67168,Murrysville,PA,Pennsylvania,True,,13469.0,232.3,42129,Westmoreland,"{""42129"": 99.77, ""42003"": 0.23}",Westmoreland|Allegheny,42129|42003,False,False,America/New_York,"(40.46352, -79.67168)",47.51145841143159,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15670,40.40783,-79.4321,New Alexandria,PA,Pennsylvania,True,,3215.0,30.4,42129,Westmoreland,"{""42129"": 100}",Westmoreland,42129,False,False,America/New_York,"(40.40783, -79.4321)",42.85557631817141,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15673,40.59383,-79.55634,North Apollo,PA,Pennsylvania,True,,1186.0,847.4,42005,Armstrong,"{""42005"": 100}",Armstrong,42005,False,False,America/New_York,"(40.59383, -79.55634)",36.934146654502136,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
15681,40.5023,-79.43873,Saltsburg,PA,Pennsylvania,True,,4773.0,34.6,42063,Indiana,"{""42063"": 54.08, ""42129"": 45.92}",Indiana|Westmoreland,42063|42129,False,False,America/New_York,"(40.5023, -79.43873)",37.52580059709767,726781.0,616_0_yes,40.94586136435532,-79.02517318508028,40.0
